Image,Name,employerprofile_ratingcontainer_n4hxe,jobcard_seolink_wdqhz_URL,jobcard_seolink_wdqhz,Location,Salary,Description,Salary1,jobcard_easyapply_eiob,Description2,jobcard_listingage_kuaxz
,Qyral,,"https://www.glassdoor.com/job-listing/email-marketing-specialist-qyral-JV_KO0,26_KE27,32.htm?jl=1009047699268",Email Marketing Specialist,United States,$50K - $60K (Employer est.),"Familiarity with Shopify, Zapier, and Klaviyo (or similar tools). Contract Terms: *This position will begin as a 90-day contract role with the potential to……",(Employer est.),Easy Apply,,1d
https://media.glassdoor.com/sql/235785/municipal-credit-union-squarelogo.png,Municipal Credit Union,2.7,"https://www.glassdoor.com/job-listing/marketing-analytics-email-manager-municipal-credit-union-JV_IC1132348_KO0,33_KE34,56.htm?jl=1009006150649",Marketing Analytics & Email Manager,"New York, NY",$95K - $119K (Employer est.),"Oversees data and analysis for the marketing department, including but not limited to: list generation, data analysis, recommendations based on data analysis,……",(Employer est.),Easy Apply,marketing,27d
https://media.glassdoor.com/sql/464707/ascend-analytics-squarelogo.png,"Ascend Analytics, LLC",3.8,"https://www.glassdoor.com/job-listing/marketing-communication-manager-ascend-analytics-llc-JV_IC1148112_KO0,31_KE32,52.htm?jl=1009049654581",Marketing & Communication Manager,"Boulder, CO",$110K - $170K (Employer est.),Experience supporting and driving marketing activities at a fast-growing company. Demonstrated experience driving process improvement activities independently.…,(Employer est.),,marketing,24h
https://media.glassdoor.com/sql/1497292/swyft-filings-squarelogo-1524471172994.png,Swyft Filings,4.3,"https://www.glassdoor.com/job-listing/email-marketing-manager-swyft-filings-JV_KO0,23_KE24,37.htm?jl=1009027101043",Email Marketing Manager,Remote,$112K - $124K (Employer est.),"Plan, develop, manage, and implement lifecycle marketing programs, campaigns, and activities across the business's online platforms that align with company……",(Employer est.),Easy Apply,marketing,15d
https://media.glassdoor.com/sql/145899/23andme-squareLogo-1658848990114.png,23andMe,3.5,"https://www.glassdoor.com/job-listing/email-marketing-manager-23andme-JV_IC1147442_KO0,23_KE24,31.htm?jl=1008947210386",Email Marketing Manager,"Sunnyvale, CA",$101K - $151K (Employer est.),"Collaborate closely with product, design, engineering, analytics, pharmacy, legal and other key stakeholders to identify opportunities, optimize existing……",(Employer est.),,,30d+
https://media.glassdoor.com/sql/992811/vista-outdoor-squarelogo-1464165430054.png,Vista Outdoor,3.2,"https://www.glassdoor.com/job-listing/brand-marketing-manager-quietkat-vista-outdoor-JV_IC1148219_KO0,32_KE33,46.htm?jl=1008895342680",Brand Marketing Manager - QuietKat,"Eagle, CO",$81K - $126K (Employer est.),Must possess a valid drivers license. Previous experience in the outdoor industry or a related field. Manage organic social media channel strategy.…,(Employer est.),,,30d+
https://media.glassdoor.com/sql/3217/henkel-squareLogo-1645620067576.png,Henkel,4.4,"https://www.glassdoor.com/job-listing/associate-manager-trade-marketing-remote-henkel-JV_IC1146821_KO0,40_KE41,47.htm?jl=1009032483940","Associate Manager, Trade Marketing ‏ (Remote)","Los Angeles, CA",$73K - $105K (Employer est.),"Effectively manage and maintain budget responsibility for in store merchandising, aligned with key stakeholder, while always looking to improve cost.…",(Employer est.),,,12d
https://media.glassdoor.com/sql/2397128/aline-squarelogo-1634907191332.png,Aline,3.1,"https://www.glassdoor.com/job-listing/marketing-marketing-manager-aline-JV_KO0,27_KE28,33.htm?jl=1009049682862",Marketing - Marketing Manager,United States,$80K - $120K (Employer est.),"Bachelor’s degree (or equivalent) in marketing, business, or related field. Help develop creative briefs and guide creative direction to meet objectives for……",(Employer est.),,marketing,24h
https://media.glassdoor.com/sql/1536694/purple-squareLogo-1649106564206.png,Purple Innovation LLC,3.5,"https://www.glassdoor.com/job-listing/marketing-analytics-manager-remote-us-purple-innovation-llc-JV_IC1128238_KO0,37_KE38,59.htm?jl=1009042362696","Marketing Analytics Manager (Remote, U.S.)","Lehi, UT",$60K - $97K (Glassdoor est.),"Bachelor's degree in Business, Marketing, Data Analytics, or a related field. Proven ability to lead and manage a team, foster collaboration, and develop talent……",(Glassdoor est.),Easy Apply,Marketing,6d
https://media.glassdoor.com/sql/89/verizon-squareLogo-1628778296366.png,Verizon,3.8,"https://www.glassdoor.com/job-listing/associate-brand-manager-creative-marketing-verizon-JV_KO0,42_KE43,50.htm?jl=1008979887438",Associate Brand Manager - Creative Marketing,United States,$80K - $161K (Employer est.),"Supporting the Head of Creative and partner with the digital media team to develop communication programs (social, digital advertising) that are consistent with……",(Employer est.),,,30d+
https://media.glassdoor.com/sql/795976/crowdstrike-squarelogo-1450221441612.png,CrowdStrike,4.1,"https://www.glassdoor.com/job-listing/channel-marketing-manager-remote-crowdstrike-JV_KO0,32_KE33,44.htm?jl=1008945134751",Channel Marketing Manager (Remote),United States,$95K - $155K (Employer est.),Build relationships with and work closely with regional field marketing teams and regional alliance managers to develop go-to-market plans that create and……,(Employer est.),,marketing,30d+
https://media.glassdoor.com/sql/690/ameren-squarelogo.png,Ameren,4.1,"https://www.glassdoor.com/job-listing/marketing-strategist-ameren-JV_KO0,20_KE21,27.htm?jl=1009038408698",Marketing Strategist,Remote,,"Bachelor’s Degree from an accredited college or university required, preferably in marketing, advertising or related field. Medical coverage on date of hire.…",,,marketing,8d
https://media.glassdoor.com/sql/766297/clever-squarelogo-1571854281108.png,Clever,4.5,"https://www.glassdoor.com/job-listing/growth-marketing-manager-clever-JV_KO0,24_KE25,31.htm?jl=1008969695479",Growth Marketing Manager,United States,,"Partner with our product and engineering teams to develop and scale a product-led sales motion. Partner with product marketing, brand marketing, and sales to……",,Easy Apply,marketing,30d+
https://media.glassdoor.com/sql/197851/workday-squareLogo-1667929666609.png,Workday,4.2,"https://www.glassdoor.com/job-listing/paid-search-marketing-manager-workday-JV_IC1147390_KO0,29_KE30,37.htm?jl=1009029158327",Paid Search Marketing Manager,"Pleasanton, CA",$86K - $159K (Employer est.),"We know that flexibility can take shape in many ways, so rather than a number of required days in-office each week, we simply spend at least half (50%) of our……",(Employer est.),,,14d
